GWBasin,AREA_KM2,SLOPE_DEGREES,SOIL_A_PERCENT,SOIL_B_PERCENT,SOIL_C_PERCENT,SOIL_D_PERCENT,SOIL_A_D_PERCENT,SOIL_B_D_PERCENT,SOIL_C_D_PERCENT,LC_UNCLASSIFIED_PERCENT,LC_OPEN_WATER_PERCENT,LC_DEVELOPED_OPEN_SPACE_PERCENT,LC_DEVELOPED_LOW_INTENSITY_PERCENT,LC_DEVELOPED_MEDIUM_INTENSITY_PERCENT,LC_DEVELOPED_HIGH_INTENSITY_PERCENT,LC_BARREN_LAND_PERCENT,LC_DECIDUOUS_FOREST_PERCENT,LC_EVERGREEN_FOREST_PERCENT,LC_MIXED_FOREST_PERCENT,LC_SHRUB_PERCENT,LC_HERBACEOUS_PERCENT,LC_HAY_PASTURE_PERCENT,LC_CULTIVATED_CROPS_PERCENT,LC_WOODY_WETLANDS_PERCENT,LC_EMERGENT_HERBACEOUS_WETLANDS_PERCENT,KARST_PERCENT,IGNEOUS_INTRUSIVE_PERCENT,SEDIMENTARY_CLASTIC_PERCENT,METAMORPHIC_AND_SEDIMENTARY_UNDIFFERENTIATED_PERCENT,IGNEOUS_AND_SEDIMENTARY_UNDIFFERENTIATED_PERCENT,METAMORPHIC_SCHIST_PERCENT,SEDIMENTARY_UNDIFFERENTIATED_PERCENT,IGNEOUS_VOLCANIC_PERCENT,METAMORPHIC_UNDIFFERENTIATED_PERCENT,UNCONSOLIDATED_UNDIFFERENTIATED_PERCENT,IGNEOUS_UNDIFFERENTIATED_PERCENT,METAMORPHIC_GNEISS_PERCENT,METAMORPHIC_VOLCANIC_PERCENT,METAMORPHIC_SEDIMENTARY_CLASTIC_PERCENT,ASPECT_FLAT_PERCENT,ASPECT_NORTH_PERCENT,ASPECT_SOUTH_PERCENT
LAKE MOHAVE,2533.177961,9.1488,0.5430,0.1091,0.0305,0.6416,0.0000,0.0000,0.0000,0.00000000,0.03865550,0.00753798,0.01655030,0.01278664,0.00281759,0.01386167,0.00000320,0.00016413,0.00000355,0.82680941,0.03166853,0.00019753,0.02554308,0.01285130,0.01055274,0,294175800,412497900,0,0,0,0,1344393900,197622000,1401760800,23652900,0,0,0,0.0191,0.3093,0.3345
PEACH SPRINGS,3647.712851,9.9743,0.0488,0.0517,0.2451,0.9913,0.0000,0.0000,0.0000,0.00000000,0.00087905,0.00313895,0.00058916,0.00014680,0.00002245,0.02034017,0.00000049,0.17818495,0.00000025,0.77719777,0.01796258,0.00000000,0.00000000,0.00130266,0.00023093,0.657133784,25380900,994435200,0,0,0,3637776600,242814600,58815000,573075900,0,0,0,0,0,0.3419,0.317
VERDE RIVER,14670.77833,9.2699,0.0091,0.5147,0.2538,0.6330,0.0000,0.0000,0.0000,0.00000000,0.00114275,0.01100660,0.00574591,0.00271767,0.00047081,0.00053767,0.00012213,0.34762627,0.00008122,0.57921427,0.04720898,0.00040327,0.00037014,0.00228741,0.00106037,0.299513525,1782163800,2963596500,0,5240700,0,5423535900,9468981900,192105900,1645932600,0,0,208027800,123230700,0.0004,0.309,0.3632
BIG SANDY,5146.140679,9.5834,0.0871,0.0147,0.3409,0.9568,0.0000,0.0000,0.0000,0.00000000,0.00003847,0.00412624,0.00081038,0.00018764,0.00004005,0.00027421,0.00293095,0.16849363,0.00022734,0.80799189,0.01326867,0.00003235,0.00002431,0.00135198,0.00020006,0.091171302,1910008800,1438245900,0,0,0,704289600,2031850800,243259200,1345537800,0,0,24453900,0,0.0002,0.3182,0.3501
SACRAMENTO VALLEY,4106.20766,6.9118,0.4205,0.1152,0.2695,0.6307,0.0000,0.0000,0.0000,0.00000000,0.00026936,0.02403254,0.00532050,0.00133297,0.00043022,0.00780739,0.00130843,0.05042244,0.00007737,0.90749988,0.00080566,0.00000658,0.00000000,0.00050891,0.00018585,0,1108317600,172940400,0,68460300,0,0,881594100,508822200,3376266300,0,0,0,0,0,0.2592,0.412
JOSEPH CITY INA,468.2616759,1.4757,0.0782,0.0593,0.3217,0.7773,0.0000,0.0176,0.0026,0.00000000,0.00504111,0.00401098,0.00688612,0.00557347,0.00122040,0.00667663,0.00000000,0.00006150,0.00000000,0.78314337,0.15380658,0.00035747,0.00000000,0.02498067,0.00823336,0.786477868,0,441559800,0,0,0,121645800,0,0,134361000,0,0,0,0,0.007,0.4341,0.23
BILL WILLIAMS,8672.909422,9.5133,0.2364,0.1801,0.1594,0.6793,0.0019,0.0000,0.0007,0.00000000,0.00157754,0.00310081,0.00081736,0.00021728,0.00005738,0.00361777,0.00014164,0.06775073,0.00005427,0.90668131,0.01128051,0.00016229,0.00052889,0.00352428,0.00048510,0.003894016,3871382400,3320885700,119615400,76094100,0,10253700,3230423100,361495800,1111644900,0,523314900,159516000,0,0.0019,0.3186,0.3578
PRESCOTT AMA,1244.818839,6.4068,0.0112,0.2271,0.6900,0.5049,0.0000,0.0000,0.0000,0.00000000,0.00103816,0.06054513,0.03423688,0.02462811,0.00762932,0.00054728,0.00000000,0.20062809,0.00000000,0.49783691,0.17057277,0.00005350,0.00027183,0.00094418,0.00105334,0.020600689,327282300,761857200,0,8381700,0,38308500,183470400,71390700,255831300,0,0,182855700,14266800,0.0003,0.3752,0.2996
LAKE HAVASU,652.3242687,8.5838,0.4547,0.1838,0.0000,0.5407,0.0000,0.0000,0.0000,0.00000000,0.05112101,0.01054289,0.04047603,0.06190395,0.01207148,0.03158728,0.00000276,0.00015589,0.00000000,0.78299368,0.00199352,0.00000000,0.00000000,0.00124578,0.00590882,0,142404300,13466700,0,239073300,0,0,0,210136500,330561000,25916400,0,0,0,0.0245,0.2343,0.4171
AGUA FRIA,3273.155056,13.1181,0.0002,0.3589,0.1225,0.8344,0.0000,0.0000,0.0000,0.00000000,0.00923768,0.00589982,0.00340935,0.00133652,0.00021968,0.00013252,0.00000330,0.11330306,0.00000137,0.76886719,0.09570065,0.00005444,0.00010750,0.00140141,0.00032691,0.005117372,1315918800,413535600,0,0,0,25318800,1900495800,467456400,48392100,0,0,621758700,0,0.0009,0.3035,0.3774
UPPER HASSAYAMPA,2039.108466,10.5731,0.0592,0.4040,0.2683,0.5048,0.0000,0.0000,0.0000,0.00000000,0.00003178,0.00936176,0.00446021,0.00223408,0.00069997,0.00107997,0.00000000,0.12113794,0.00000000,0.84051439,0.01801472,0.00014432,0.00020655,0.00175213,0.00037647,0,1119234600,640946700,0,0,0,0,316322100,102149100,598274100,0,0,209002500,0,0.0002,0.2638,0.4189
TONTO CREEK,2476.392121,14.4678,0.0000,0.5298,0.7302,0.2011,0.0000,0.0000,0.0000,0.00000000,0.00019915,0.00766722,0.00381871,0.00115637,0.00008286,0.00003852,0.00000545,0.42003676,0.00018934,0.55663199,0.00807388,0.00008904,0.00004979,0.00157102,0.00040702,0.253942692,807369300,604402200,557217900,0,0,363750300,13159800,339743700,218128500,0,0,575657100,139799700,0,0.313,0.3712
SALT RIVER,13558.67833,12.9385,0.0198,0.2955,0.4856,0.4434,0.0000,0.0004,0.0000,0.00000000,0.00642648,0.00467838,0.00146189,0.00057633,0.00016248,0.00256038,0.00200928,0.47694969,0.00013534,0.44145015,0.06021161,0.00000551,0.00000000,0.00131520,0.00205846,0.366734433,2180624400,3167701200,1921964400,164029500,0,4205970000,7157070900,164771100,458457300,0,0,128350800,60570900,0.0036,0.3219,0.3631
PARKER,5764.772358,5.4880,0.7060,0.1785,0.1251,0.3304,0.0011,0.0000,0.0000,0.00000000,0.00443324,0.00518242,0.00380505,0.00226689,0.00056559,0.22575408,0.00020778,0.00000406,0.00004683,0.62516855,0.04671143,0.00446025,0.06578244,0.01085097,0.00476014,0.002196699,581447700,1031015700,37854900,182537100,22867200,0,1273494600,68715900,4997304900,4000500,142155900,0,0,0.0008,0.3969,0.2923
BUTLER VALLEY,744.3049181,5.5656,0.9268,0.0061,0.0636,0.4627,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00228521,0.00039054,0.00002297,0.00001209,0.00663196,0.00000000,0.00006892,0.00000000,0.97141825,0.00475301,0.00015718,0.01423121,0.00000846,0.00000725,0,183773700,0,0,1818900,0,0,945900,25726500,757391400,0,116354700,0,0,0,0.4545,0.2308
MCMULLEN VALLEY,1679.673441,4.1376,0.4745,0.0354,0.6112,0.3021,0.0000,0.0000,0.0000,0.00000000,0.00001447,0.01241309,0.00184900,0.00076885,0.00016127,0.00048114,0.00000429,0.00208689,0.00000000,0.86441607,0.01800133,0.00373711,0.08912691,0.00225298,0.00468116,0.003162947,324331200,17732700,8325000,70165800,0,0,28480500,71086500,1762874100,0,162075600,0,0,0.0049,0.2998,0.3823
PHOENIX AMA,13956.27114,4.1498,0.2471,0.3106,0.4651,0.3387,0.0000,0.0000,0.0000,0.00000000,0.00215355,0.04822545,0.06069309,0.08320593,0.02822469,0.01018590,0.00000000,0.00062026,0.00000561,0.62271945,0.07111036,0.00118972,0.06295433,0.00825289,0.00046028,0.00672114,2028085200,973865700,112840200,135329400,0,0,1874853900,1233619200,13371517800,12262500,0,384942600,0,0.0052,0.253,0.4353
RANEGRAS PLAIN,2359.197556,4.2918,0.5913,0.0991,0.1972,0.5479,0.0000,0.0000,0.0000,0.00000000,0.00002518,0.00578869,0.00359872,0.00168683,0.00027542,0.15367674,0.00000000,0.00000000,0.00000000,0.81756449,0.00635555,0.00027275,0.01064395,0.00010032,0.00003166,0.003839034,123538500,167938200,13192200,76285800,0,0,817620300,26314200,2175425100,0,12588300,0,0,0.0012,0.4184,0.2716
MORENCI,4143.362875,16.4856,0.0032,0.2877,0.5695,0.5074,0.0000,0.0000,0.0016,0.00000000,0.00065465,0.00382384,0.00144504,0.00094135,0.00018397,0.01123845,0.00074761,0.55091053,0.00024479,0.38733313,0.03839626,0.00000130,0.00003931,0.00282688,0.00120851,0.017087053,151040700,1445594400,11007900,0,0,90948600,4052705400,10236600,196613100,0,0,0,0,0.0003,0.3179,0.3767
HARQUAHALA INA,1982.64185,3.5358,0.4775,0.3505,0.2377,0.3138,0.0000,0.0000,0.0000,0.00000000,0.00019473,0.00944364,0.00211932,0.00054787,0.00012437,0.09259854,0.00000000,0.00071627,0.00000000,0.76820147,0.04907018,0.00024284,0.07554779,0.00069539,0.00049885,0.015388258,299790900,23950800,43328700,20452500,0,0,302567400,115857000,2054724300,1418400,0,0,0,0.0011,0.2245,0.4671
SAFFORD,12300.87605,8.7382,0.1745,0.0875,0.4325,0.6423,0.0000,0.0000,0.0000,0.00000000,0.00122552,0.00589503,0.00296390,0.00117592,0.00024721,0.00465868,0.00000666,0.06977943,0.00333556,0.78961894,0.08737554,0.00004009,0.02503396,0.00643444,0.00221195,0.072103222,1845174600,3550290300,594643500,1811700,0,191499300,4054937400,633172500,6439234500,87507000,0,0,0,0.0036,0.3805,0.3207
LOWER GILA,18919.52379,4.0031,0.3224,0.5625,0.1254,0.3538,0.0000,0.0000,0.0000,0.00000000,0.00042002,0.00409281,0.00191058,0.00079033,0.00010845,0.11063461,0.00000656,0.00000005,0.00000690,0.75489410,0.10291995,0.00071412,0.01968799,0.00247054,0.00134301,0.038102803,1445064300,972946800,4713300,280427400,43229700,0,5945423400,589407300,17426602800,28420200,80044200,0,0,0.0048,0.3738,0.3269
BONITA CREEK,1183.039627,10.5100,0.0125,0.0000,0.3508,0.9890,0.0000,0.0000,0.0000,0.00000000,0.00017116,0.00012095,0.00001978,0.00000304,0.00000228,0.00000609,0.00000000,0.12522742,0.00000000,0.73862879,0.13315702,0.00000000,0.00000000,0.00144991,0.00123234,0.104643471,24871500,534555000,36349200,0,0,0,878362200,0,219698100,0,0,0,0,0.0006,0.3327,0.3651
LOWER SAN PEDRO,4209.442208,11.4825,0.2678,0.0985,0.2279,0.7556,0.0000,0.0000,0.0023,0.00000000,0.00027536,0.00435110,0.00216956,0.00102193,0.00032432,0.00778759,0.00007012,0.05795625,0.00010732,0.89865613,0.01340989,0.00029161,0.00119253,0.01192981,0.00045816,0.102394427,1008871200,2682978300,433456200,23019300,0,176658300,883141200,183029400,562941000,0,1156500,0,0,0.0012,0.3607,0.345
PINAL AMA,10614.10582,2.6644,0.3397,0.1437,0.5491,0.3567,0.0000,0.0000,0.0000,0.00000000,0.00042623,0.01535793,0.00662802,0.00456921,0.00128326,0.00921184,0.00000000,0.00105900,0.00000000,0.72346168,0.11059399,0.00073545,0.11798620,0.00731031,0.00136890,0.010889834,1106955000,717366600,147239100,10242900,0,16633800,1101855600,385605000,11518937100,1350900,3258000,0,0,0.0016,0.4956,0.2099
DRIPPING SPRING WASH,981.0570674,16.5128,0.1225,0.0103,0.1256,0.8290,0.0000,0.0000,0.0093,0.00000000,0.00008806,0.00142919,0.00069074,0.00019355,0.00003853,0.00209241,0.00000000,0.04086853,0.00000917,0.94631774,0.00234192,0.00000000,0.00000000,0.00560851,0.00030088,0.316191702,144470700,253216800,190617300,0,0,252318600,476439300,2296800,82391400,0,0,0,0,0.0002,0.317,0.3826
GILA BEND,3326.417087,5.0964,0.3720,0.4501,0.0736,0.4771,0.0000,0.0000,0.0000,0.00000000,0.00026135,0.00475158,0.00424187,0.00209645,0.00067447,0.01227652,0.00000000,0.00000000,0.00000000,0.70187882,0.17455208,0.00230667,0.08053961,0.00668030,0.00973962,0.019052501,617172300,115338600,14678100,0,0,0,1072972800,131940000,2780371800,0,0,0,0,0.0028,0.452,0.248
DONNELLY WASH,760.0258589,7.7375,0.0820,0.0012,0.3168,0.8445,0.0000,0.0000,0.0042,0.00000000,0.00000237,0.00228413,0.00013972,0.00001421,0.00000000,0.00031142,0.00000000,0.00004026,0.00000474,0.97675559,0.01261183,0.00000000,0.00000000,0.00778900,0.00007697,0.019060642,516028500,112911300,21280500,21870900,0,0,127981800,64746900,219396600,0,0,0,0,0.0002,0.4053,0.2955
DUNCAN VALLEY,1424.703212,9.2906,0.0218,0.0112,0.7218,0.4633,0.0000,0.0000,0.0000,0.00000000,0.00017497,0.00403954,0.00644179,0.00160066,0.00015729,0.00164551,0.00000063,0.02182617,0.00000000,0.89317242,0.05867666,0.00132019,0.00941318,0.00124060,0.00029310,0.002537239,6445800,799394400,0,0,0,5005800,880227000,0,329992200,0,0,0,0,0.0004,0.3527,0.3506
ARAVAIPA CANYON,1340.31675,14.6535,0.0602,0.0627,0.1944,1.0018,0.0000,0.0000,0.0025,0.00000000,0.00001074,0.00010407,0.00000806,0.00000604,0.00000000,0.00001947,0.00000000,0.13660090,0.00000470,0.81233639,0.04682638,0.00000000,0.00046262,0.00287847,0.00075873,0.009215816,128973600,808333200,17507700,0,0,0,726315300,106902900,113358600,0,0,0,0,0,0.3397,0.3652
YUMA,2046.762253,2.7947,0.8100,0.3025,0.1823,0.0731,0.0000,0.0000,0.0000,0.00110451,0.00266937,0.02618938,0.02346109,0.02870706,0.00960903,0.48547424,0.00002023,0.00000044,0.00002067,0.16407377,0.03378551,0.00212283,0.21349473,0.00700474,0.00226925,0.000938714,219986100,32949000,2842200,53174700,0,0,528300,52410600,2524429800,1356300,0,0,0,0.0111,0.3261,0.3699
TUCSON AMA,10027.3596,5.8167,0.2348,0.1295,0.4802,0.5067,0.0000,0.0000,0.0000,0.00000000,0.00057018,0.03143440,0.03166847,0.02535920,0.00724705,0.01289325,0.00026548,0.02786446,0.00012547,0.77269478,0.07557520,0.00021181,0.01189775,0.00162069,0.00057520,0.01641686,2727086400,1857206700,213462000,331179300,0,17556300,830034900,112903200,7628146200,31405500,281756700,0,0,0.0003,0.4218,0.2925
WILLCOX,4952.520136,6.3478,0.1454,0.0266,0.6737,0.5048,0.0000,0.0000,0.0000,0.00000000,0.00034907,0.01547663,0.00134305,0.00097072,0.00034417,0.02905889,0.00005033,0.09168848,0.00309442,0.53357519,0.23038234,0.00029329,0.09328193,0.00003925,0.00004434,0.026548394,275241600,690583500,82611900,0,0,99681300,1286464500,249452100,4066186500,178301700,0,0,0,0.0051,0.3301,0.3796
SAN SIMON WASH,5917.248424,3.4870,0.2633,0.1904,0.5526,0.3772,0.0000,0.0000,0.0000,0.00002814,0.00003681,0.00199312,0.00037094,0.00004760,0.00001825,0.00425513,0.00000000,0.00433924,0.00000304,0.88480502,0.08191562,0.00000000,0.00068774,0.02087141,0.00062752,0,645502500,515128500,0,82569600,0,0,998139600,0,6003332100,0,0,0,0,0.0003,0.3254,0.3916
UPPER SAN PEDRO,4706.361423,6.3069,0.1743,0.1317,0.5381,0.5364,0.0000,0.0000,0.0000,0.00000096,0.00010154,0.01938080,0.00598477,0.00434985,0.00100007,0.00032737,0.00032641,0.05681248,0.00130966,0.74149973,0.16161498,0.00042757,0.00282851,0.00329394,0.00073524,0.090892814,532408500,2330100900,72790200,78334200,0,520239600,336187800,136079100,2526140700,0,0,0,0,0.0001,0.3668,0.3535
WESTERN MEXICAN DRAINAGE,1580.529709,5.2566,0.0664,0.7662,0.0773,0.3716,0.0000,0.0000,0.0000,0.00074363,0.00000171,0.00113423,0.00067986,0.00009964,0.00000854,0.05077464,0.00000000,0.00000000,0.00000000,0.91421055,0.03230006,0.00000000,0.00001822,0.00002562,0.00000456,0.057044259,488773800,39197700,0,92316600,0,0,369783900,53036100,1163193300,0,0,0,0,0.0019,0.2298,0.4823
CIENEGA CREEK,1593.115958,9.8713,0.0438,0.1912,0.5205,0.6007,0.0000,0.0000,0.0000,0.00000000,0.00000678,0.00957556,0.00115973,0.00031408,0.00004745,0.00004180,0.00002881,0.12389080,0.00247425,0.54743989,0.31173916,0.00000000,0.00000678,0.00197601,0.00129926,0.064477992,169246800,1363321800,29828700,109296900,0,113570100,242019900,0,179879400,0,2750400,0,0,0,0.3564,0.3645
DOUGLAS AMA,2459.122192,3.9023,0.1630,0.0430,0.7070,0.4650,0.0000,0.0000,0.0000,0.00000000,0.00068837,0.01614076,0.00368743,0.00179614,0.00052516,0.00069972,0.00011747,0.02002251,0.00014895,0.75593043,0.14550687,0.00010174,0.05458836,0.00000988,0.00003989,0.035307183,140366700,553055400,32469300,0,0,87998400,220685400,12303000,2352298500,0,0,0,0,0.0003,0.2901,0.4326
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
